('2014-10-21', 30)
('2014-10-24', 17)
('2014-10-22', 15)
('2014-10-23', 18)
('2014-10-26', 19)
('2014-10-25', 31)
('2014-10-26', 20)
('2014-10-27', 30)
('2014-10-27', 49)
('2014-10-28', 1)
('2014-10-28', 50)
('2014-10-28', 50)
('2014-10-28', 32)
('2014-10-29', 18)
('2014-10-30', 37)
('2014-10-29', 13)
('2014-10-30', 50)
('2014-10-31', 39)
('2014-10-30', 11)
('2014-11-01', 45)
('2014-10-31', 5)
('2014-11-03', 19)
('2014-11-02', 19)
('2014-11-01', 12)
('2014-11-03', 30)
('2014-11-04', 20)
('2014-11-05', 3)
('2014-11-04', 47)
('2014-11-05', 50)
('2014-11-06', 37)
('2014-11-05', 13)
('2014-11-07', 29)
('2014-11-06', 21)
('2014-11-09', 7)
('2014-11-08', 8)
('2014-11-07', 35)
('2014-11-09', 8)
('2014-11-10', 22)
('2014-11-11', 20)
('2014-11-11', 26)
('2014-11-12', 21)
('2014-11-13', 3)
('2014-11-14', 2)
('2014-11-13', 48)
('2014-11-14', 50)
('2014-11-14', 36)
('2014-11-15', 13)
('2014-11-16', 1)
('2014-11-16', 9)
('2014-11-17', 34)
('2014-11-18', 7)
('2014-11-18', 47)
('2014-11-19', 3)
('2014-11-19', 50)
('2014-11-20', 43)
('2014-11-19', 7)
('2014-11-20', 50)
('2014-11-21', 11)
('2014-11-20', 39)
('2014-11-21', 27)
('2014-11-22', 23)
('2014-11-23', 17)
('2014-11-22', 1)
('2014-11-24', 32)
('2014-11-25', 49)
('2014-11-24', 1)
('2014-11-25', 50)
('2014-11-25', 47)
('2014-11-26', 3)
('2014-11-26', 50)
('2014-11-27', 19)
('2014-11-26', 31)
('2014-11-28', 34)
('2014-11-27', 16)
('2014-11-29', 32)
('2014-11-28', 9)
('2014-11-30', 9)
('2014-11-30', 5)
('2014-12-01', 45)
('2014-12-02', 8)
('2014-12-01', 42)
('2014-12-02', 50)
('2014-12-02', 50)
('2014-12-03', 50)
('2014-12-03', 50)
('2014-12-03', 50)
('2014-12-03', 21)
('2014-12-04', 29)
('2014-12-04', 50)
('2014-12-04', 13)
('2014-12-05', 37)
('2014-12-06', 17)
('2014-12-07', 18)
('2014-12-05', 15)
('2014-12-08', 37)
('2014-12-07', 13)
('2014-12-08', 28)
('2014-12-09', 22)
('2014-12-11', 4)
('2014-12-10', 27)
('2014-12-09', 19)
('2014-12-11', 43)
('2014-12-12', 7)
('2014-12-13', 12)
('2014-12-12', 38)
('2014-12-13', 9)
('2014-12-15', 31)
('2014-12-14', 10)
('2014-12-15', 50)
('2014-12-15', 49)
